,City,Lng,Lat,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
0,Lorengau,147.27,-2.02,89,PG,1563652694,80,80.44,8.95
1,Hermanus,19.24,-34.42,100,ZA,1563652512,87,48.0,3.0
2,Busselton,115.35,-33.64,100,AU,1563652536,56,59.0,27.63
3,Provideniya,-173.23,64.42,100,RU,1563652639,88,51.82,4.63
4,Port Alfred,26.89,-33.59,31,ZA,1563652627,77,51.01,3.0
5,Tautira,-149.15,-17.73,20,PF,1563652839,61,78.8,4.7
6,Lompoc,-120.46,34.64,1,US,1563652551,68,73.4,6.93
7,Pevek,170.27,69.7,91,RU,1563652837,94,32.38,4.05
8,Bredasdorp,20.04,-34.53,79,ZA,1563652498,86,46.0,5.82
9,Dongying,118.67,37.43,13,CN,1563652840,67,79.9,0.27
10,Tiksi,128.87,71.64,5,RU,1563652840,75,44.26,10.18
11,Hithadhoo,73.08,-0.6,91,MV,1563652605,78,82.78,13.76
12,Albany,-73.75,42.65,75,US,1563652475,55,95.0,8.05
13,Boa Vista,-60.67,2.82,76,BR,1563652841,62,86.38,6.58
14,Kruisfontein,24.73,-34.0,36,ZA,1563652579,84,42.82,4.74
15,Jamestown,138.6,-33.21,2,AU,1563652476,97,44.98,7.0
16,Thessalon,-83.55,46.26,1,CA,1563652841,53,77.0,5.82
17,Jiazi,110.49,19.61,0,CN,1563652841,94,78.8,3.71
18,Nikolskoye,30.79,59.7,0,RU,1563652479,77,64.4,4.47
19,Moville,-96.07,42.49,1,US,1563652842,88,72.0,17.22
20,Hambantota,81.12,6.12,100,LK,1563652485,78,81.52,22.73
21,Chokurdakh,147.9,70.62,100,RU,1563652518,79,41.56,15.55
22,Masuda,131.85,34.68,90,JP,1563652842,88,78.8,16.11
23,Harper,-99.24,30.3,1,US,1563652729,33,95.0,13.87
24,Aklavik,-135.01,68.22,40,CA,1563652843,77,62.6,5.82
25,Mataura,168.86,-46.19,82,NZ,1563652474,98,46.0,2.19
26,Bambous Virieux,57.76,-20.34,40,MU,1563652631,83,71.6,6.93
27,Kawalu,108.21,-7.38,100,ID,1563652843,98,68.02,3.22
28,Saint George,22.34,39.45,20,GR,1563652844,39,78.8,4.7
29,Batemans Bay,150.18,-35.71,0,AU,1563652844,74,42.01,3.0
30,Punta Arenas,-70.91,-53.16,75,CL,1563652470,74,37.4,9.17
31,Port Elizabeth,-74.98,39.31,20,US,1563652650,59,102.0,11.41
32,Fairbanks,-147.72,64.84,90,US,1563652624,77,62.6,11.92
33,Talnakh,88.39,69.49,0,RU,1563652597,62,57.2,11.18
34,Potosi,-65.75,-19.59,24,BO,1563652845,33,46.06,19.13
35,Slave Lake,-114.77,55.28,1,CA,1563652845,82,64.4,8.05
36,Mount Gambier,140.78,-37.83,75,AU,1563652629,87,50.0,14.99
37,Pangkalanbuun,111.62,-2.68,21,ID,1563652694,99,72.88,2.51
38,Berlevag,29.09,70.86,0,NO,1563652846,80,52.9,4.09
39,Chuy,-53.46,-33.69,4,UY,1563652606,91,61.0,6.62
40,Yokadouma,15.05,3.52,100,CM,1563652846,92,69.1,1.28
41,Fort Nelson,-122.69,58.81,20,CA,1563652847,53,75.2,4.7
42,Altenholz,10.12,54.4,75,DE,1563652847,93,66.0,4.7
43,Kapaa,-159.32,22.08,20,US,1563652665,69,82.4,14.99
44,Acapulco,-99.88,16.86,75,MX,1563652847,66,87.8,10.29
45,Muros,-9.06,42.77,20,ES,1563652847,77,69.01,9.17
46,Karratha,116.85,-20.74,75,AU,1563652848,39,61.72,10.33
47,Straumen,11.3,63.87,0,NO,1563652848,43,73.4,18.34
48,Nanortalik,-45.24,60.14,100,GL,1563652550,94,42.46,4.94
49,Vardo,-77.74,39.62,1,US,1563652848,50,98.01,9.17
50,Necochea,-58.74,-38.55,100,AR,1563652520,83,55.99,7.0
51,Vaini,74.49,15.34,100,IN,1563652514,91,77.56,7.2
52,Ramhormoz,49.6,31.28,0,IR,1563652849,31,91.4,6.93
53,Breyten,29.99,-26.3,1,ZA,1563652849,49,35.44,4.52
54,New Norfolk,147.06,-42.78,50,AU,1563652540,62,51.8,13.87
55,Saint-Philippe,-73.48,45.36,1,CA,1563652615,44,96.01,5.82
56,Souillac,-0.6,45.6,75,FR,1563652722,73,75.2,11.41
57,Fortuna,-124.16,40.6,20,US,1563652539,72,82.0,14.99
58,Lamu,102.37,35.77,100,CN,1563652850,63,57.04,1.43
59,Cururupu,-44.87,-1.82,57,BR,1563652850,96,74.32,3.8
60,Bluff,149.07,-23.58,20,AU,1563652504,83,54.34,9.57
61,Los Llanos de Aridane,-17.92,28.66,40,ES,1563652719,83,73.4,19.46
62,Bathsheba,-59.52,13.22,75,BB,1563652851,70,86.0,18.34
63,La Libertad,-71.56,-16.38,0,PE,1563652851,17,71.6,12.75
64,Nome,-94.42,30.04,1,US,1563652495,66,95.0,9.17
65,Baneasa,27.7,44.06,0,RO,1563652852,82,64.99,1.01
66,Seoul,126.98,37.57,90,KR,1563652714,94,75.2,9.04
67,Avera,-82.53,33.19,40,US,1563652852,55,95.0,10.29
68,Cape Town,18.42,-33.93,84,ZA,1563652607,68,51.01,1.01
69,Ushuaia,-68.31,-54.81,40,AR,1563652469,47,37.4,16.11
70,Yashan,118.02,30.81,93,CN,1563652853,86,76.66,2.21
71,Butaritari,172.79,3.07,33,KI,1563652584,68,84.4,5.99
72,Iqaluit,-68.52,63.75,90,CA,1563652805,93,42.01,12.75
73,Ribeira Grande,-28.7,38.52,20,PT,1563652747,83,75.2,8.05
74,Pangody,74.49,65.85,33,RU,1563652854,86,67.12,7.63
75,Naze,7.07,5.43,71,NG,1563652646,94,72.88,3.85
76,Ende,121.65,-8.84,43,ID,1563652854,81,74.5,5.17
77,Bafra,35.91,41.57,75,TR,1563652855,73,75.2,5.82
78,Zaozerne,23.94,51.37,0,UA,1563652847,83,63.7,2.66
79,Sorland,12.69,67.67,1,NO,1563652855,94,53.26,11.74
80,Tuatapere,167.69,-46.13,100,NZ,1563652559,98,46.0,8.01
81,Viedma,-62.99,-40.81,100,AR,1563652735,46,49.48,12.57
82,Yellowknife,-114.38,62.45,40,CA,1563652501,49,68.0,12.75
83,Rikitea,-134.97,-23.12,65,PF,1563652471,47,67.12,6.85
84,Avarua,-159.78,-21.21,7,CK,1563652623,64,73.4,6.93
85,Mar del Plata,-67.52,-46.43,26,AR,1563652368,48,41.38,9.35
86,Viesca,-102.81,25.34,40,MX,1563652856,27,91.4,6.93
87,El Rusio,-86.37,14.47,78,HN,1563652856,56,82.78,8.72
88,Rio Grande,-52.1,-32.03,0,BR,1563652593,57,78.8,9.17
89,Longyearbyen,15.63,78.22,75,NO,1563652517,93,42.8,8.05
90,Te Anau,167.72,-45.41,100,NZ,1563652857,94,44.26,5.03
91,Chanute,-95.46,37.68,1,US,1563652857,52,97.0,18.34
92,Sindor,51.9,62.87,99,RU,1563652857,94,57.76,4.54
93,Nouadhibou,-17.03,20.93,0,MR,1563652858,64,75.2,16.11
94,San Patricio,-56.83,-26.98,50,PY,1563652858,81,71.26,7.65
95,Xucheng,118.51,33.0,0,CN,1563652858,84,77.02,3.8
96,Tilichiki,166.1,60.47,100,RU,1563652859,99,50.56,2.35
97,Katsuura,134.5,33.93,75,JP,1563652859,83,80.6,25.28
98,Jalu,21.55,29.03,0,LY,1563652859,39,82.78,20.2
99,Tanout,8.88,14.97,6,NE,1563652859,28,94.66,1.66
100,Labuhan,115.51,-2.54,0,ID,1563652860,95,70.36,1.77
101,Hilo,-155.08,19.71,20,US,1563652681,57,84.99,4.7
102,Laureles,-110.87,29.18,40,MX,1563652860,42,102.0,5.82
103,Saskylakh,114.09,71.97,11,RU,1563652478,56,61.54,6.26
104,Atuona,-139.03,-9.8,0,PF,1563652581,78,79.72,12.15
105,Ust-Ilimsk,102.73,57.96,50,RU,1563652861,66,50.92,5.03
106,Camacha,-16.33,33.08,75,PT,1563652576,73,73.4,12.75
107,Cayenne,-52.33,4.94,75,GF,1563652638,78,82.4,5.82
108,Kavieng,150.8,-2.57,100,PG,1563652535,75,83.86,17.31
109,Torbay,-52.73,47.66,75,CA,1563652477,71,60.01,17.22
110,Kidal,1.41,18.44,100,ML,1563652861,27,90.52,7.54
111,Castro,-73.76,-42.48,90,CL,1563652835,93,42.8,8.05
112,Meulaboh,96.13,4.14,100,ID,1563652819,79,79.72,3.06
113,Placerville,-120.8,38.73,1,US,1563652862,39,87.01,7.78
114,Vaitape,-151.75,-16.52,12,PF,1563652862,73,77.38,13.15
115,Mahebourg,57.7,-20.41,40,MU,1563652603,83,71.6,6.93
116,Nishihara,139.53,35.74,75,JP,1563652678,100,78.01,3.36
117,Monrovia,-10.8,6.33,75,LR,1563652677,94,77.0,9.22
118,Cockburn Town,-71.14,21.46,0,TC,1563652578,79,82.6,13.47
119,Narsaq,-46.05,60.91,40,GL,1563652863,59,60.8,8.05
120,Porosozero,32.71,62.72,67,RU,1563652863,90,50.2,3.04
121,Saint-Francois,3.91,46.42,67,FR,1563652863,69,75.2,3.36
122,Macaubas,-42.7,-13.02,33,BR,1563652864,48,73.06,10.16
123,Georgetown,-58.16,6.8,75,GY,1563652414,88,80.6,6.93
124,Noumea,166.46,-22.28,75,NC,1563652864,87,55.4,14.76
125,Salalah,54.1,17.01,75,OM,1563652569,94,78.8,4.7
126,Hobart,147.33,-42.88,50,AU,1563652506,62,51.8,13.87
127,Jatai,76.18,28.97,72,IN,1563652865,55,90.88,6.93
128,Kodiak,-94.76,39.95,40,US,1563652565,21,96.01,10.29
129,Lakes Entrance,147.99,-37.88,0,AU,1563652865,69,54.0,12.93
130,Puerto Ayora,-90.35,-0.74,20,EC,1563652533,65,78.8,5.82
131,Sao Filipe,-24.5,14.9,46,CV,1563652418,81,72.88,18.52
132,Pisco,-76.2,-13.71,0,PE,1563652812,30,71.6,8.05
133,Manokwari,134.08,-0.87,40,ID,1563652866,84,73.06,4.83
134,Carnarvon,22.13,-30.97,27,ZA,1563652566,61,36.16,12.73
135,Porto Novo,-45.44,-23.68,20,BR,1563652866,43,73.4,4.7
136,San Marcos,-91.79,14.97,40,GT,1563652867,59,89.6,4.7
137,Barrow,-60.23,-38.31,100,AR,1563652519,84,57.22,12.26
138,Alice Springs,133.88,-23.7,82,AU,1563652849,21,59.0,9.17
139,Kaduqli,29.72,11.01,30,SD,1563652867,78,75.94,2.64
140,Isla Vista,-119.86,34.41,1,US,1563652830,64,86.0,13.87
141,Dikson,80.55,73.51,67,RU,1563652538,99,44.62,17.52
142,Piacabucu,-36.43,-10.41,31,BR,1563652867,86,73.42,11.07
143,Klyuchi,79.17,52.25,8,RU,1563652868,88,64.78,6.87
144,Vestmannaeyjar,-20.27,63.44,20,IS,1563652781,93,55.4,8.05
145,Anjozorobe,47.88,-18.4,20,MG,1563652868,66,55.4,6.93
146,Chapada dos Guimaraes,-55.75,-15.46,0,BR,1563652868,27,91.4,9.17
147,Khandyga,135.58,62.65,1,RU,1563652821,51,50.92,3.91
148,Namibe,12.15,-15.19,96,AO,1563652543,87,69.46,5.06
149,Klaksvik,-6.59,62.23,100,FO,1563652770,93,53.6,8.05
150,Dauphin,-100.04,51.15,40,CA,1563652869,64,71.6,8.05
151,Kahului,-156.47,20.89,40,US,1563652610,65,82.4,13.87
152,Zhanaozen,52.85,43.35,0,KZ,1563652870,36,82.96,19.24
153,Tubli,124.15,13.93,98,PH,1563652870,77,82.96,4.79
154,Lebu,38.73,8.96,40,ET,1563652507,87,57.2,4.7
155,Chattanooga,-85.31,35.05,1,US,1563652737,78,87.8,4.7
156,Potters Bar,-0.2,51.7,20,GB,1563652870,60,69.8,6.93
157,Kaitangata,169.85,-46.28,100,NZ,1563652613,91,50.0,11.01
158,Nemuro,145.57,43.32,100,JP,1563652733,96,56.86,8.12
159,Alofi,-169.92,-19.06,20,NU,1563652793,94,75.2,5.82
160,Juazeiro do Norte,-39.32,-7.22,75,BR,1563652871,54,80.6,12.75
161,Shangqiu,115.65,34.42,0,CN,1563652871,74,78.1,3.78
162,East London,27.91,-33.02,7,ZA,1563652611,85,43.18,8.1
163,Faanui,-151.75,-16.48,12,PF,1563652523,73,77.38,13.15
164,Shintomi,131.47,32.08,100,JP,1563652872,99,72.34,3.2
165,Copiapo,-70.33,-27.37,20,CL,1563652872,67,59.0,10.29
166,Maralal,36.7,1.1,0,KE,1563652872,66,64.6,6.85
167,Sitka,-99.65,37.17,0,US,1563652505,27,102.99,15.01
168,Broome,1.45,52.47,40,GB,1563652872,88,68.0,6.93
169,Wabash,-85.82,40.8,40,US,1563652775,52,93.99,10.29
170,Meihekou,125.69,42.54,96,CN,1563652873,94,70.72,3.27
171,San Cristobal,-86.92,14.68,48,HN,1563652873,44,84.58,13.89
172,Nara,135.8,34.68,20,JP,1563652873,88,77.0,3.36
173,Harrismith,29.13,-28.27,17,ZA,1563652873,71,30.94,4.09
174,Atar,-13.05,20.52,97,MR,1563652874,21,98.8,3.91
175,Charlestown,-71.64,41.38,20,US,1563652874,56,96.01,8.05
176,Nabire,135.5,-3.36,100,ID,1563652874,99,69.1,3.22
177,Keti Bandar,67.45,24.14,0,PK,1563652875,80,82.78,12.21
178,Buritama,-50.14,-21.07,0,BR,1563652875,47,73.6,7.38
179,Baghdad,44.38,33.3,0,IQ,1563652676,26,95.0,6.93
180,Roswell,-104.52,33.39,1,US,1563652576,14,104.0,11.32
181,Akdepe,59.39,42.05,0,TM,1563652799,29,91.4,9.17
182,Presidente Olegario,-46.42,-18.42,92,BR,1563652875,56,70.0,3.0
183,Pitimbu,-34.81,-7.47,75,BR,1563652876,69,80.6,9.17
184,Iracoubo,-53.21,5.48,100,GF,1563652876,91,78.1,5.14
185,Tuktoyaktuk,-133.03,69.44,90,CA,1563652511,87,55.4,9.17
186,San Andres,122.68,13.32,100,PH,1563652876,90,77.74,2.64
187,Tual,132.75,-5.67,84,ID,1563652876,82,76.66,20.15
188,Thompson,-97.86,55.74,75,CA,1563652526,39,66.2,11.41
189,Brae,-1.35,60.4,98,GB,1563652517,93,57.2,10.29
190,Cabo San Lucas,-109.91,22.89,5,MX,1563652328,58,89.01,11.41
191,Les Cayes,-73.75,18.19,0,HT,1563652877,77,83.86,16.96
192,Hattiesburg,-89.29,31.33,20,US,1563652878,78,84.99,4.7
193,Maceio,-35.74,-9.67,75,BR,1563652810,88,71.6,4.7
194,Ponta Delgada,-25.67,37.73,40,PT,1563652879,88,73.4,5.82
195,Saint-Augustin,-73.98,45.63,75,CA,1563652796,62,93.99,9.17
196,Sistranda,8.83,63.73,75,NO,1563652879,56,69.8,14.99
197,Upernavik,-56.15,72.79,100,GL,1563652625,93,43.54,12.35
198,Tianpeng,112.34,28.88,96,CN,1563652880,80,79.54,1.86
199,Kochki,80.49,54.33,55,RU,1563652880,86,56.68,6.33
200,Hay River,-115.79,60.82,20,CA,1563652880,50,75.2,6.93
201,Manati,19.67,41.76,0,AL,1563652880,83,73.4,1.12
202,Touros,-35.46,-5.2,75,BR,1563652881,69,80.6,12.75
203,Qaanaaq,-69.36,77.48,97,GL,1563652768,81,41.92,2.51
204,Dingle,122.67,11.0,36,PH,1563652807,89,74.5,2.1
205,Kutum,24.66,14.2,100,SD,1563652764,62,76.3,8.52
206,Haines Junction,-137.51,60.75,80,CA,1563652684,50,63.52,5.21
207,Sayyan,44.32,15.17,17,YE,1563652882,45,77.02,0.45
208,Ponta do Sol,-46.0,-20.63,61,BR,1563652784,64,60.28,5.23
209,Ruwi,58.55,23.6,0,OM,1563652882,84,86.0,6.93
210,Chynadiyovo,22.82,48.48,100,UA,1563652882,88,64.99,13.0
211,Portland,-70.25,43.66,1,US,1563652799,49,93.99,8.05
212,Canmore,-115.35,51.09,90,CA,1563652848,93,53.6,8.05
213,Bethel,-161.76,60.79,90,US,1563652628,93,53.6,11.41
214,Coquimbo,-71.34,-29.95,0,CL,1563652883,72,59.0,14.99
215,Clyde River,-68.59,70.47,75,CA,1563652883,86,41.0,10.29
216,Jiaozhou,120.03,36.26,0,CN,1563652883,78,77.0,4.47
217,Tasiilaq,-37.64,65.61,40,GL,1563652521,76,48.2,8.05
218,Maniitsoq,-52.9,65.42,21,GL,1563652884,80,48.94,11.92
219,Sao Joao da Barra,-41.05,-21.64,40,BR,1563652786,69,73.4,16.11
220,Cap Malheureux,57.61,-19.98,40,MU,1563652773,83,71.6,6.93
221,Cayon,-62.73,17.35,20,KN,1563652884,62,88.0,9.17
222,Ancud,-73.83,-41.87,90,CL,1563652847,93,42.8,8.05
223,Lages,-50.33,-27.82,0,BR,1563652885,86,57.4,4.52
224,Tucurui,-49.67,-3.77,0,BR,1563652843,58,81.34,2.13
225,Mobaye,21.18,4.33,54,CF,1563652885,97,69.82,1.48
226,Ilulissat,-51.1,69.22,75,GL,1563652885,71,51.8,4.7
227,Yulara,130.99,-25.24,0,AU,1563652831,50,53.6,6.93
228,Khatanga,102.47,71.98,0,RU,1563652583,58,65.68,9.42
229,Biak,122.88,-0.91,85,ID,1563652776,98,62.98,5.08
230,San Juan,-68.53,-31.54,100,AR,1563652886,11,63.7,6.55
231,Nantucket,-70.1,41.28,1,US,1563652887,83,91.4,11.41
232,Singarayakonda,80.02,15.25,14,IN,1563652887,74,83.14,7.67
233,Kindu,25.92,-2.95,1,CD,1563652887,74,73.6,3.83
234,Stykkisholmur,-22.73,65.08,2,IS,1563652888,79,52.9,14.56
235,Poso,120.75,-1.4,26,ID,1563652888,93,59.74,4.23
236,Chumikan,135.31,54.72,100,RU,1563652888,98,51.64,2.59
237,Malangali,34.85,-8.57,19,TZ,1563652889,60,64.42,5.75
238,Sibolga,98.78,1.74,100,ID,1563652612,78,81.88,12.03
239,Magdagachi,125.8,53.45,100,RU,1563652889,98,65.14,11.95
240,Prince Rupert,-130.32,54.32,1,CA,1563652889,77,62.6,5.82
241,Arraial do Cabo,-42.02,-22.97,75,BR,1563652531,68,71.6,20.8
242,Petrokamenskoye,60.65,57.72,100,RU,1563652890,96,62.8,3.87
243,Beloha,45.06,-25.17,0,MG,1563652890,64,64.96,12.24
244,Taoudenni,-3.98,22.68,54,ML,1563652891,9,108.34,14.05
245,Petatlan,-101.27,17.52,75,MX,1563652891,59,93.2,6.93
246,Bagdarin,113.59,54.44,100,RU,1563652891,96,51.28,3.78
247,Clearlake,-122.63,38.96,90,US,1563652892,77,86.0,3.36
248,Puerto Narino,-70.38,-3.77,40,CO,1563652892,79,84.2,5.82
249,Fuyu,124.46,47.79,93,CN,1563652892,94,70.9,6.4
250,Santa Maria,-48.01,-16.02,20,BR,1563652815,40,73.4,12.75
251,Geraldton,-86.95,49.72,75,CA,1563652499,43,73.4,10.29
252,Sotik,35.11,-0.69,57,KE,1563652893,93,58.48,2.51
253,Trincomalee,81.23,8.58,100,LK,1563652893,69,80.8,12.15
254,Henties Bay,14.28,-22.12,0,NA,1563652839,86,57.99,8.25
255,Norsup,167.38,-16.07,75,VU,1563652894,73,75.2,8.05
256,Babstovo,132.48,48.12,100,RU,1563652894,94,68.92,7.02
257,Tortoli,9.66,39.93,20,IT,1563652894,88,77.0,10.29
258,Verkhnevilyuysk,120.31,63.45,0,RU,1563652895,72,53.08,1.45
259,Deputatskiy,139.9,69.3,100,RU,1563652895,65,50.2,18.07
260,Takhtamygda,123.57,54.1,100,RU,1563652895,98,55.96,9.04
261,Paramonga,-77.82,-10.68,46,PE,1563652895,85,61.18,10.0
262,San Quintin,120.52,17.54,100,PH,1563652896,89,75.58,3.33
263,Buckeye,-112.58,33.37,20,US,1563652747,14,108.0,8.05
264,Vila Velha,-38.6,-3.71,75,BR,1563652591,65,86.0,17.22
265,Hirara,125.28,24.8,100,JP,1563652730,84,83.5,19.06
266,Aitape,142.36,-3.15,60,PG,1563652835,93,76.48,4.25
267,Taunggyi,97.03,20.78,99,MM,1563652897,93,68.92,2.93
